Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Domain	Phylum	Class	Order	Family	Genus	Domain_Phylum	year_trt
X16S_848	1	0	0	0.000102877	0	5	-0.906326967	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Catelliglobosispora	Bacteria_Actinobacteria	2012_control
X16S_851	22	7022.083737	84459	0.105137153	0	2	3.740525279	0.314049587	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclassified	Unclassified	Gp4	Bacteria_Acidobacteria	2012_control
X16S_8598	3	6137	50269	4.53e-05	0.333333333	3	0.495293006	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclassified	Unclassified	Gp4	Bacteria_Acidobacteria	2012_control
X16S_86	1	0	0	4.63e-136	0	67	0	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria	2012_control
X16S_863	1	0	0	0.000980727	0	6	-0.936569608	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_88	1	0	0	0.000799106	0	4	-0.8267611	0	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Bacteria_Actinobacteria	2012_control
X16S_883	2	0	0	1.52e-83	1	8	-0.105999788	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_886	3	7.075223381	180	0.043240816	0.666666667	4	-0.433065338	0	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cytophagaceae	Dyadobacter	Bacteria_Bacteroidetes	2012_control
X16S_89	14	1687.053642	12625	0.140074655	0.263736264	4	1.338565591	0.255102041	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Bacteria_Actinobacteria	2012_control
X16S_8935	1	0	0	0.004550422	0	7	-1.120897077	0	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Asanoa	Bacteria_Actinobacteria	2012_control
X16S_9087	1	0	0	2.36e-05	0	2	-0.668568463	0	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_9093	4	578.5845116	7608	0.013867499	0	7	1.441153384	0.375	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Virgisporangium	Bacteria_Actinobacteria	2012_control
X16S_912	1	0	0	4.63e-136	0	82	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_9189	2	22.07160587	428	0.000958043	0	6	-0.096058421	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_920	1	0	0	0.00185838	0	2	-0.668568463	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_922	1	0	0	0.007055695	0	2	-0.668568463	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_925	8	1346.704049	7909	0.028486176	0.178571429	1	1.99550593	0.21875	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	Bacteria_Planctomycetes	2012_control
X16S_928	1	0	0	8.82e-06	0	0	-0.481543412	0	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_9299	2	1	1	4.27e-117	0	27	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Byssovorax	Bacteria_Proteobacteria	2012_control
X16S_930	1	0	0	4.63e-136	0	63	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_949	5	1551.454525	14987	0.004426639	0	6	2.425475137	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria	2012_control
X16S_957	3	759.7185402	10604	0.003174401	0	2	-0.149851552	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_96	1	0	0	0.00244538	0	1	-0.739451436	0	Bacteria	Acidobacteria	Acidobacteria_Gp25	Unclassified	Unclassified	Gp25	Bacteria_Acidobacteria	2012_control
X16S_969	3	135.4607863	1412	0.00592539	0	6	0.744452765	0	Archaea	Euryarchaeota	Unclassified	Unclassified	Unclassified	Unclassified	Archaea_Euryarchaeota	2012_control
X16S_974	2	377	3664	0.000382824	0	6	-0.096058421	0	Bacteria	Bacteroidetes	Bacteroidetes_incertae_sedis	Unclassified	Unclassified	Ohtaekwangia	Bacteria_Bacteroidetes	2012_control
X16S_9746	3	24	24	1.73e-83	0.333333333	8	0.688998622	0	Bacteria	Verrucomicrobia	Spartobacteria	Unclassified	Unclassified	Spartobacteria_genera_incertae_sedis	Bacteria_Verrucomicrobia	2012_control
X16S_977	1	0	0	4.63e-136	0	67	0	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_98	1	0	0	0.016416	0	4	-0.8267611	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Bacteria_Proteobacteria	2012_control
X16S_981	1	0	0	0.006206373	0	2	-0.668568463	0	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Bacteria_Actinobacteria	2012_control
X16S_9836	4	57	57	2.36e-90	0	9	2.342606428	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae 1	Paenibacillus	Bacteria_Firmicutes	2012_control
X16S_9847	1	0	0	4.27e-117	0	31	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_985	2	185.5785381	1029	0.00280726	0	1	-0.283625208	0	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unclassified	Unclassified	Gp3	Bacteria_Acidobacteria	2012_control
X16S_9886	1	0	0	4.63e-136	0	61	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified	Bacteria_Proteobacteria	2012_control
X16S_998	1	0	0	4.63e-136	0	60	0	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_control
X16S_1	11	611.1773056	7522	0.304169777	0.745454545	12	0.912	0.165	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae 1	Bacillus	Bacteria_Firmicutes	2012_warming
X16S_10	3	418.6068801	4981	5.65e-05	0	1	0.063	0	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Proteobacteria	2012_warming
X16S_100	1	0	0	2.83e-277	0	38	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter	Bacteria_Proteobacteria	2012_warming
X16S_1006	3	3	3	1.59e-209	0	19	1.732	0	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Bacteria_Unclassified	2012_warming
X16S_1008	1	0	0	2.83e-277	0	55	0	0	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unclassified	Unclassified	Gp1	Bacteria_Acidobacteria	2012_warming
X16S_1010	1	0	0	3.49e-08	0	6	-0.845	0	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unclassified	Unclassified	Gp4	Bacteria_Acidobacteria	2012_warming
